COMMENT,ORIGINATOR,NORAD_CAT_ID,OBJECT_NAME,OBJECT_TYPE,CLASSIFICATION_TYPE,INTLDES,EPOCH,EPOCH_MICROSECONDS,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,FILE,TLE_LINE0,TLE_LINE1,TLE_LINE2,OBJECT_ID,OBJECT_NUMBER,SEMIMAJOR_AXIS,PERIOD,APOGEE,PERIGEE,DECAYED
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-03 22:00:00","999936","15.808703","0.0003063","53.2183","208.7579","291.0512","188.5839","0","999","130","-0.0071739","-0.01253319","0","3590585","0 STARLINK-5022","1 53903U 22119T   22276.91667824 -.01253319  00000-0 -71739-2 0  9992","2 53903  53.2183 208.7579 0003063 291.0512 188.5839 15.80870300  1302","2022-119T","53903","6706.115","91.089","330.034","325.926","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-04 04:00:00","999936","15.80162055","0.0005306","53.2176","207.5074","277.6316","185.2961","0","999","188","-0.0069157","-0.01179894","0","3590644","0 STARLINK-5022","1 53903U 22119T   22277.16667824 -.01179894  00000-0 -69157-2 0  9996","2 53903  53.2176 207.5074 0005306 277.6316 185.2961 15.80162055  1889","2022-119T","53903","6708.119","91.130","333.543","326.425","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-04 14:00:01","224","15.79089998","0.0006707","53.2176","205.4239","270.0361","43.6922","0","999","194","-0.0074074","-0.01201582","0","3590932","0 STARLINK-5022","1 53903U 22119T   22277.58334491 -.01201582  00000-0 -74074-2 0  9997","2 53903  53.2176 205.4239 0006707 270.0361  43.6922 15.79089998  1945","2022-119T","53903","6711.155","91.192","337.521","328.519","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-04 22:00:00","999936","15.78273467","0.0003186","53.2185","203.7632","288.6418","120.5302","0","999","130","-0.0081928","-0.01268073","0","3591597","0 STARLINK-5022","1 53903U 22119T   22277.91667824 -.01268073  00000-0 -81928-2 0  9997","2 53903  53.2185 203.7632 0003186 288.6418 120.5302 15.78273467  1301","2022-119T","53903","6713.469","91.239","337.473","333.195","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-05 04:00:00","999936","15.77627795","0.0001052","53.2186","202.5195","314.3124","75.7714","0","999","203","-0.0084555","-0.01269277","0","3591632","0 STARLINK-5022","1 53903U 22119T   22278.16667824 -.01269277  00000-0 -84555-2 0  9991","2 53903  53.2186 202.5195 0001052 314.3124  75.7714 15.77627795  2039","2022-119T","53903","6715.301","91.276","337.872","336.459","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-05 14:00:01","999872","15.76501362","0.0001231","53.2183","200.4432","50.6253","186.4403","0","999","130","-0.0084878","-0.01218044","0","3592692","0 STARLINK-5022","1 53903U 22119T   22278.58335648 -.01218044  00000-0 -84878-2 0  9997","2 53903  53.2183 200.4432 0001231  50.6253 186.4403 15.76501362  1303","2022-119T","53903","6718.499","91.342","341.191","339.537","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-05 20:00:01","224","15.75829418","0.0001304","53.2184","199.2008","60.6844","155.6776","0","999","214","-0.0085042","-0.01188244","0","3592754","0 STARLINK-5022","1 53903U 22119T   22278.83334491 -.01188244  00000-0 -85042-2 0  9992","2 53903  53.2184 199.2008 0001304  60.6844 155.6776 15.75829418  2144","2022-119T","53903","6720.409","91.380","343.150","341.398","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-05 22:00:00","999936","15.75616684","0.0001143","53.2181","198.7869","50.4485","278.8993","0","999","130","-0.0086446","-0.0119551","0","3593077","0 STARLINK-5022","1 53903U 22119T   22278.91667824 -.01195510  00000-0 -86446-2 0  9993","2 53903  53.2181 198.7869 0001143  50.4485 278.8993 15.75616684  1304","2022-119T","53903","6721.014","91.393","343.647","342.111","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-06 14:00:01","224","15.73730362","0.000109","53.2175","195.4784","73.3577","77.5633","0","999","130","-0.0046777","-0.00624625","0","3593749","0 STARLINK-5022","1 53903U 22119T   22279.58334491 -.00624625  00000-0 -46777-2 0  9994","2 53903  53.2175 195.4784 0001090  73.3577  77.5633 15.73730362  1307","2022-119T","53903","6726.384","91.502","348.982","347.515","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-06 22:00:00","999936","15.73199121","0.000122","53.2176","193.829","73.2523","166.97","0","999","231","0.000058923","0.00007657","0","3593865","0 STARLINK-5022","1 53903U 22119T   22279.91667824  .00007657  00000-0  58923-4 0  9996","2 53903  53.2176 193.8290 0001220  73.2523 166.9700 15.73199121  2319","2022-119T","53903","6727.898","91.533","350.583","348.942","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-06 22:42:55","224","15.73203455","0.0001141","53.2175","193.6817","73.5329","335.5107","0","999","130","0.000006098","0.00000236","0","3594620","0 STARLINK-5022","1 53903U 22119T   22279.94646991  .00000236  00000-0  60980-5 0  9994","2 53903  53.2175 193.6817 0001141  73.5329 335.5107 15.73203455  1309","2022-119T","53903","6727.885","91.533","350.518","348.983","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-07 14:00:01","224","15.73183808","0.0001057","53.2216","190.5448","84.45","333.6687","0","999","130","0.00070134","0.00098904","0","3595509","0 STARLINK-5022","1 53903U 22119T   22280.58334491  .00098904  00000-0  70134-3 0  9994","2 53903  53.2216 190.5448 0001057  84.4500 333.6687 15.73183808  1300","2022-119T","53903","6727.941","91.534","350.517","349.095","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-07 20:00:01","224","15.73289225","0.000113","53.2214","189.3083","82.2295","312.5815","0","999","246","-0.00081775","-0.00114271","0","3595553","0 STARLINK-5022","1 53903U 22119T   22280.83334491 -.00114271  00000-0 -81775-3 0  9993","2 53903  53.2214 189.3083 0001130  82.2295 312.5815 15.73289225  2465","2022-119T","53903","6727.641","91.528","350.266","348.746","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-07 22:00:00","999936","15.73279341","0.0001147","53.221","188.8966","78.4952","68.5686","0","999","130","-0.00096507","-0.00134371","0","3595773","0 STARLINK-5022","1 53903U 22119T   22280.91667824 -.00134371  00000-0 -96507-3 0  9993","2 53903  53.2210 188.8966 0001147  78.4952  68.5686 15.73279341  1304","2022-119T","53903","6727.669","91.529","350.306","348.762","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-08 12:00:00","999648","15.73153159","0.0001214","53.2197","186.0097","83.5229","129.1874","0","999","256","0.00026431","0.00036561","0","3596174","0 STARLINK-5022","1 53903U 22119T   22281.50001157  .00036561  00000-0  26431-3 0  9999","2 53903  53.2197 186.0097 0001214  83.5229 129.1874 15.73153159  2562","2022-119T","53903","6728.029","91.536","350.711","349.077","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-08 14:00:01","224","15.73159177","0.0001192","53.2193","185.5971","86.38","238.5504","0","999","130","0.00023352","0.00032221","0","3596390","0 STARLINK-5022","1 53903U 22119T   22281.58334491  .00032221  00000-0  23352-3 0  9995","2 53903  53.2193 185.5971 0001192  86.3800 238.5504 15.73159177  1306","2022-119T","53903","6728.012","91.536","350.679","349.075","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-08 22:00:00","999936","15.73201948","0.0001168","53.2188","183.9493","82.4292","331.3944","0","999","130","0.00016691","0.0002287","0","3596607","0 STARLINK-5022","1 53903U 22119T   22281.91667824  .00022870  00000-0  16691-3 0  9998","2 53903  53.2188 183.9493 0001168  82.4292 331.3944 15.73201948  1300","2022-119T","53903","6727.890","91.533","350.540","348.969","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-09 14:00:01","224","15.73239997","0.0001052","53.2184","180.6493","92.544","139.1384","0","999","130","0.00008671","0.00011587","0","3597861","0 STARLINK-5022","1 53903U 22119T   22282.58334491  .00011587  00000-0  86710-4 0  9996","2 53903  53.2184 180.6493 0001052  92.5440 139.1384 15.73239997  1306","2022-119T","53903","6727.781","91.531","350.354","348.938","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-09 20:00:01","224","15.73260098","0.0001045","53.2188","179.4129","92.1776","116.2379","0","999","277","-0.00023835","-0.00034021","0","3598067","0 STARLINK-5022","1 53903U 22119T   22282.83334491 -.00034021  00000-0 -23835-3 0  9992","2 53903  53.2188 179.4129 0001045  92.1776 116.2379 15.73260098  2770","2022-119T","53903","6727.724","91.530","350.292","348.886","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-09 22:00:00","999936","15.73272973","0.000098","53.2186","179.0011","86.5859","234.0729","0","999","130","-0.00052891","-0.00074423","0","3598879","0 STARLINK-5022","1 53903U 22119T   22282.91667824 -.00074423  00000-0 -52891-3 0  9994","2 53903  53.2186 179.0011 0000980  86.5859 234.0729 15.73272973  1301","2022-119T","53903","6727.687","91.529","350.211","348.893","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-10 14:00:01","224","15.73201156","0.0001013","53.2177","175.6997","95.1321","43.4938","0","999","130","0.0001296","0.00017608","0","3600948","0 STARLINK-5022","1 53903U 22119T   22283.58334491  .00017608  00000-0  12960-3 0  9992","2 53903  53.2177 175.6997 0001013  95.1321  43.4938 15.73201156  1303","2022-119T","53903","6727.892","91.533","350.438","349.075","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-10 22:00:01","999584","15.73373266","0.0001421","53.2177","174.0437","91.0761","136.5308","0","999","130","-0.0035631","-0.00476897","0","3601747","0 STARLINK-5022","1 53903U 22119T   22283.91668981 -.00476897  00000-0 -35631-2 0  9993","2 53903  53.2177 174.0437 0001421  91.0761 136.5308 15.73373266  1308","2022-119T","53903","6727.401","91.523","350.222","348.310","0"
